"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3077","User login with correct email and password","LMS system","Wed Jul 15 09:52:27 UTC 2026","passed","Wed Jul 15 09:52:30 UTC 2026","Authorization","Authentication","",""
"","2015","Registration with correct email, username and password","LMS system","Wed Jul 15 09:53:19 UTC 2026","passed","Wed Jul 15 09:53:21 UTC 2026","Registration","Authentication","",""
"","1875","Check create course page","LMS system","Wed Jul 15 09:53:25 UTC 2026","passed","Wed Jul 15 09:53:27 UTC 2026","Courses","Courses","",""
"","2211","Check create course page","LMS system","Wed Jul 15 09:53:28 UTC 2026","passed","Wed Jul 15 09:53:30 UTC 2026","Courses","Courses","",""
"","2878","User login with correct email and password","LMS system","Wed Jul 15 09:52:34 UTC 2026","passed","Wed Jul 15 09:52:37 UTC 2026","Authorization","Authentication","",""
"","1216","Navigation from login page to registration page","LMS system","Wed Jul 15 09:52:56 UTC 2026","passed","Wed Jul 15 09:52:57 UTC 2026","Authorization","Authentication","",""
"","1546","Registration with correct email, username and password","LMS system","Wed Jul 15 09:53:18 UTC 2026","passed","Wed Jul 15 09:53:19 UTC 2026","Registration","Authentication","",""
"","3812","User login with correct email and password","LMS system","Wed Jul 15 09:52:26 UTC 2026","passed","Wed Jul 15 09:52:30 UTC 2026","Authorization","Authentication","",""
"","1360","User login with wrong email or password","LMS system","Wed Jul 15 09:52:48 UTC 2026","passed","Wed Jul 15 09:52:49 UTC 2026","Authorization","Authentication","",""
"","1336","Check displaying dashboard page","LMS system","Wed Jul 15 09:53:48 UTC 2026","passed","Wed Jul 15 09:53:49 UTC 2026","Dashboard","Dashboard","",""
"","2356","User login with correct email and password","LMS system","Wed Jul 15 09:52:43 UTC 2026","passed","Wed Jul 15 09:52:45 UTC 2026","Authorization","Authentication","",""
"","3355","Check update (edit) course page","LMS system","Wed Jul 15 09:53:43 UTC 2026","passed","Wed Jul 15 09:53:46 UTC 2026","Courses","Courses","",""
