"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1459","User login with wrong email or password","LMS system","Wed Jul 15 09:41:15 UTC 2026","passed","Wed Jul 15 09:41:17 UTC 2026","Authorization","Authentication","",""
"","2003","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:29 UTC 2026","passed","Wed Jul 15 09:41:31 UTC 2026","Registration","Authentication","",""
"","1820","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:32 UTC 2026","passed","Wed Jul 15 09:41:34 UTC 2026","Registration","Authentication","",""
"","2084","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:31 UTC 2026","passed","Wed Jul 15 09:41:33 UTC 2026","Registration","Authentication","",""
"","5643","User login with correct email and password","LMS system","Wed Jul 15 09:40:54 UTC 2026","passed","Wed Jul 15 09:41:00 UTC 2026","Authorization","Authentication","",""
"","3389","Check create course page","LMS system","Wed Jul 15 09:41:54 UTC 2026","passed","Wed Jul 15 09:41:58 UTC 2026","Courses","Courses","",""
"","4984","Check update (edit) course page","LMS system","Wed Jul 15 09:42:08 UTC 2026","passed","Wed Jul 15 09:42:13 UTC 2026","Courses","Courses","",""
"","4089","Check update (edit) course page","LMS system","Wed Jul 15 09:42:08 UTC 2026","passed","Wed Jul 15 09:42:12 UTC 2026","Courses","Courses","",""
"","2404","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:45 UTC 2026","passed","Wed Jul 15 09:41:47 UTC 2026","Registration","Authentication","",""
"","1269","Check displaying of empty courses list ","LMS system","Wed Jul 15 09:41:50 UTC 2026","passed","Wed Jul 15 09:41:51 UTC 2026","Courses","Courses","",""
"","1870","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:38 UTC 2026","passed","Wed Jul 15 09:41:40 UTC 2026","Registration","Authentication","",""
"","2704","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:35 UTC 2026","passed","Wed Jul 15 09:41:38 UTC 2026","Registration","Authentication","",""
"","2323","User login with wrong email or password","LMS system","Wed Jul 15 09:41:14 UTC 2026","passed","Wed Jul 15 09:41:16 UTC 2026","Authorization","Authentication","",""
"","1732","Check displaying of empty courses list ","LMS system","Wed Jul 15 09:41:42 UTC 2026","passed","Wed Jul 15 09:41:44 UTC 2026","Courses","Courses","",""
"","2095","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:35 UTC 2026","passed","Wed Jul 15 09:41:37 UTC 2026","Registration","Authentication","",""
"","4450","User login with correct email and password","LMS system","Wed Jul 15 09:40:43 UTC 2026","passed","Wed Jul 15 09:40:47 UTC 2026","Authorization","Authentication","",""
"","3705","User login with correct email and password","LMS system","Wed Jul 15 09:40:42 UTC 2026","passed","Wed Jul 15 09:40:45 UTC 2026","Authorization","Authentication","",""
"","4065","User login with correct email and password","LMS system","Wed Jul 15 09:41:04 UTC 2026","passed","Wed Jul 15 09:41:08 UTC 2026","Authorization","Authentication","",""
"","1974","User login with wrong email or password","LMS system","Wed Jul 15 09:41:10 UTC 2026","passed","Wed Jul 15 09:41:12 UTC 2026","Authorization","Authentication","",""
"","1618","User login with wrong email or password","LMS system","Wed Jul 15 09:41:30 UTC 2026","passed","Wed Jul 15 09:41:32 UTC 2026","Authorization","Authentication","",""
"","1640","Navigation from login page to registration page","LMS system","Wed Jul 15 09:41:22 UTC 2026","passed","Wed Jul 15 09:41:23 UTC 2026","Authorization","Authentication","",""
"","1958","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:26 UTC 2026","passed","Wed Jul 15 09:41:28 UTC 2026","Registration","Authentication","",""
"","2466","Registration with correct email, username and password","LMS system","Wed Jul 15 09:41:40 UTC 2026","passed","Wed Jul 15 09:41:43 UTC 2026","Registration","Authentication","",""
"","2060","User login with wrong email or password","LMS system","Wed Jul 15 09:41:25 UTC 2026","passed","Wed Jul 15 09:41:27 UTC 2026","Authorization","Authentication","",""
"","4276","User login with wrong email or password","LMS system","Wed Jul 15 09:41:18 UTC 2026","passed","Wed Jul 15 09:41:23 UTC 2026","Authorization","Authentication","",""
"","1737","User login with wrong email or password","LMS system","Wed Jul 15 09:41:13 UTC 2026","passed","Wed Jul 15 09:41:15 UTC 2026","Authorization","Authentication","",""
"","4442","User login with correct email and password","LMS system","Wed Jul 15 09:41:03 UTC 2026","passed","Wed Jul 15 09:41:07 UTC 2026","Authorization","Authentication","",""
"","2679","Check create course page","LMS system","Wed Jul 15 09:42:03 UTC 2026","passed","Wed Jul 15 09:42:05 UTC 2026","Courses","Courses","",""
"","1648","User login with wrong email or password","LMS system","Wed Jul 15 09:41:28 UTC 2026","passed","Wed Jul 15 09:41:29 UTC 2026","Authorization","Authentication","",""
"","1717","Navigation from login page to registration page","LMS system","Wed Jul 15 09:41:17 UTC 2026","passed","Wed Jul 15 09:41:19 UTC 2026","Authorization","Authentication","",""
"","2561","Check displaying dashboard page","LMS system","Wed Jul 15 09:42:15 UTC 2026","passed","Wed Jul 15 09:42:18 UTC 2026","Dashboard","Dashboard","",""
"","2924","Check create course page","LMS system","Wed Jul 15 09:41:49 UTC 2026","passed","Wed Jul 15 09:41:52 UTC 2026","Courses","Courses","",""
"","3554","Check update (edit) course page","LMS system","Wed Jul 15 09:42:03 UTC 2026","passed","Wed Jul 15 09:42:07 UTC 2026","Courses","Courses","",""
"","1233","User login with wrong email or password","LMS system","Wed Jul 15 09:41:08 UTC 2026","passed","Wed Jul 15 09:41:10 UTC 2026","Authorization","Authentication","",""
"","2628","User login with correct email and password","LMS system","Wed Jul 15 09:40:49 UTC 2026","passed","Wed Jul 15 09:40:52 UTC 2026","Authorization","Authentication","",""
"","2079","Check displaying dashboard page","LMS system","Wed Jul 15 09:42:13 UTC 2026","passed","Wed Jul 15 09:42:16 UTC 2026","Dashboard","Dashboard","",""
"","2792","User login with correct email and password","LMS system","Wed Jul 15 09:40:46 UTC 2026","passed","Wed Jul 15 09:40:49 UTC 2026","Authorization","Authentication","",""
